person,person_occ
"barstow/bryson, w.",none
"bate, ric.",grocer
"bathcom, w.",grocer
"codd, t.",none
"elsey, t.",scrivener
"fayerman, t.",ww
"fletcher, e.",barber
"homerston, j.",grocer
"humfrey, r.",raffman
"lawrence, t.",mercer
"norwich, t.",staymaker
"richman, j.",tailor
"robynson, e.",tailor
"sotherton, j.",none
"wolmer, francis",grocer
"wynter, t.",grocer
"crane, t.",haberdasher
"sotherton, j.",mercer
bustymer. w.,none
"cobb, j.",apothecary
"head, ric.",capper
"king, t.",grocer
"lowthe, w.",skinner
"baker, n.",raffman
"derme, j.",none
"greenwood, h.",tailor
"hendry, r.",none
"lowthe, w.",none
"osbern, leonard",mercer
"pettybon, j.",tanner
"sotherton, j. (elder)",none
"stevenson, r.",shoemaker
"bracy, c.",grocer
"crowe, j. (younger)",fishmonger
"humfrey, h.",draper
"pettybon, j.",none
"sellers, edm.",ww
"bray, t.",saddler
"cok, c.",tanner
"crowe, j. (younger)",none
"hinderson, r.",draper
"osbern, leonard",none
"woodcrofte, w.",grocer
"baker, n.",grocer
"bemond, t.",draper
"branthut, j.",mercer
"cobbold, w.",goldsmith
"deynes, w.",ww
"gurney, j.",cordwainer
"havens, r.",grocer
"lynacre, peter",cordwainer
"manne, n.",tailor
"marsham, j.",none
"parish, t.",mercer
"sewall, j.",mercer
"tesmond, vincent",none
"woodcrofte, w.",none
"wynter, t.",none
"barrett, c.",mercer
"berne als. derne, j.",mercer
"berne als. derne, w.",mercer
"beverly, j.",hatter
"branthut, j.",none
"burman, t.",wax
"cocke, peter",grocer
cook j.,ww
"cooke, j.",ww
"davy, stephen",calendrer
"hubbard, w.",draper
"king, t.",none
"overton, edm.",tailor
"peterson, peter",goldsmith
"wolman, t.",grocer
"wright, j.",cordwainer
"aldewyn, augustyn",ww
"barnard, r.",none
"barney, t.",ww
"beverly, j.",capper
"bryell als tebbold ,w.",tanner
"cotwyn, j.",tailor
"mapes, j.",none
"monford, j.",none
"morrant, james",grocer
"newton,  simon",none
"nobbes, j.",ashburner
"norgate, t.",grocer
"palmer, j.",none
"peckover, edm.",ww
"peckover, j. (younger)",ww
"sadler, j. (younger)",grocer
"savage, t.",grocer
"skott, r.",grocer
"stevens, j.",fletcher
"stevens, w.",keelman
"tesmond, t.",cordwainer
"warden, edm.",wax
"bacon, j.",grocer
"ballys, j.",grocer
"basingham, j.",goldsmith
"bengemyn, ric.",none
"bolton, francis",tailor
"bryell als tebbold, w.",tanner
"byrche, j.",carpenter
"cock, peter",grocer
"crane, t.",mercer
"debney, j.",mercer
"dunham, h.",nercer
"fryer, ric.",mercer
"gooch, t.",mercer
"hamond, edm.",none
"hodging, lawrence",saddler
"johnson, t.",grocer
"lowe, j.",none
"manne, gabriel",stainer
"morrant, james",none
"nobbes, j.",grocer
"pettus, t.",tailor
"sadler, j.",grocer
"savage, t.",butcher
"sotherton, n.",grocer
"stokes, t.",grocer
"stow, w.",grocer
"warden, edm.",none
"wright, j.",none
"ballys, j.",none
"baly, h.",mercer
"booth, james",tailor
"bradley, t.",haberdasher
"byrche, j. (younger)",none
"carre,  t.",draper
"cocke, g.",ww
"crabbe,  simon",ww
"crane, t.",none
"downing, edm.",plowright
"dunham, h.",grocer
"jackson, t.",none
"kyndersley, r.",draper
"manne, gabriel",none
"nobbes, j.",none
"peckover, j.",ww
"peckover, j. (elder)",ww
"peterson, cornelius",hardwareman
"petit,  simon",ww
"pettus, t.",none
"skott, r.",none
"smyth, t.",calendrer
"sotherton, n.",none
"sotherton, ric.",grocer
"style, edm.",grocer
"trull, r.",calenderer
"wood, lawrence",scrivener
"carre, t.",draper
"claxton, t.",keelman
"cocke, ric.",cordwainer
"coke, ric.",none
"crabbe,  simon",none
"fisher,j.",butcher
"goslyng, r.",grocer
"gybson, r.",grocer
"hamond, t.",ww
"hemont, r.",none
"mynne, h.",mercer
"newton,  simon",goldsmith
"pynne, ralph",saddler
"redman, g.",grocer
"revell, j.",mercer
"smyth, t.",cordwainer82
"style, anthony",mercer
"tompson, j.",fishmonger
"trull, r.",none
"yarham, r.",grocer
"aldrich, w.",grocer
"bengemyn, j. (younger)",draper
"clement, ralph",grocer
"cocke, g.",none
"cocke, ric.",none
"deynes, t.",ww
"goslyng, r.",none
"grundy, james",mercer
"layer, c.",grocer
"mynne, h.",none
"pynne, ralph",none
"rede, j.",mercer
"redman, g.",none
"rogers, w.",goldsmith
"smyth, t.",none
"sotherton, j. (younger)",none
"tesmond, vincent",glover
"weld, j.",grocer
"wells, j.",none
"yarham, r.",none
"baker, j.",grocer
"banges, ric.",none
"blewett, oswald",carpenter
"blome, t.",ww
"byrche, j. (younger)",carpenter
"clyfford, j.",grocer
"ferrour, t.",draper
"fletcher, edm.",none
"golding, r.",mercer
"grenold, r.",none
"gyrdler, r.",tailor
"hobart, t.",butcher
"moore, j. (elder)",none
"rede, j.",none
"rogers, w.",none
"smyth, ric.",grocer
"sotherton, n. (the son of ns)",none
"stevenson, r.",cordwaine4
"swift, ric.",grocer
"thurston, edm.",grocer
"betts, j.",dyer
"betty, ric.",bowyer
"bray, andrew",grocer
"deynes, t.",grocer
"felbrig, j.",carpenter
"goose, j.",ww
"gray, augusten",mercer
"johnson, r.",haberdasher
"kemp, r.",grocer
"sadler, ric.",grocer
"walden, g.",grocer
"bengemyn, j.",draper
"collyson, g.",draper
"croche, j.",mercer
"dethyck, t.",draper
"edam, j.",mercer
"edeham, j.",mercer
"elmeham, ralph",barber
"gleane, t.",draper
"godfrey, j.",sherman
"green, t.",cordwainer
"gyggs, j.",hatter
"hoggs, t.",hairmaker
"morewood, rowland",none
"morley, francis",none
"smyth, ric.",none
"spratt, ric.",baker
"stevenson, r.",none
"sturmyn, ric.",none
"tompson, j.",none
"tooke, r.",blacksmith
"wagstaff, j.",none
"balls, j.",is
"beare w,",ww
"blome, t.",draper
"bryne, g.",tanner
"couley, r.",hatter
"deynes, j.",pinmaker
"dowsing, j.",fisherman
"goodwyn, james",grocer
"green, t.",none
"knight, t.",mercer
"mai, g.",none
"mayhew, r.",none
"pynchin, edm.",scrivener
"smyth, randoll",draper
"whiting, r.",ww
"wright, e.",cutler
"wright, n.",grocer
"balls, j.",none
"betts, t.",cordwainer
"crispe, r.",cordwainer
"davy, r.",grocer
"gylderne, w.",none
"knight, roger",grocer
"levell, t.",none
"smyth, randoll",none
"stannage, r.",fishmonger
"todd, r.",ww
"whiting, r.",none
"wright, e.",none
"wright, n.",none
"bevys, w.",mercer
"booth, w.",tailor
"cryckmay, r.",hatter
"deynes, j.",ww
"galloway, j.",ww
"hast, roger",ww
"hodging, lawrence",none
"james, ric.",ww
"king, j.",dornix
"loryson, w.",none
"manne, g.",none
"mayhew, r.",cordwainer
"miller, j.",roper
"moore, j. (elder)",pye
"pulla, r.",haberdasher
"pynchin, edm.",none
"sadler, ric.",none
"smyth, ric.",haberdasher
"stannage, r.",none
"strange, r.",none
"walters, r.",grocer
"wrenche, t.",grocer
"ashwell, j.",ww
"bardwell, j.",grocer
"born, ric.",none
"brown, t.",hatter
"brown, w.",grocer
"deynes, andrew",ww
"ketryngham, t.",carrier
"miller, j.",none
"osborn, edm.",mercer
"pulla, r.",none
"quasshe, andrew",mercer
"sotherton, n. (elder)",none
"steward, t.",hatter
"ward, r.",ww
"wylkynson, anthony",haberdasher
"barker, edm.",ww
"brown, t. (elder)",butcher
francis. t.,grocer
"johnson, r.",none
"lynne, t.",grocer
"marsham, ralph",none
"pye, h.",none
"ward, t.",ww
"weld, roger",grocer
"wheatley, ric.",none
"wright, j.",cord
"beckett, w.",tailor
"biggot, j.",none
"brady, edm.",grocer
"bulwer, j.",grocer
"clark, ric.",linen
croft. t.,fishmonger
"downing,  simon",none
"harman, matthew",grocer
"joynor, r.",cooper
"kyttmay, geoffrey",none
lounde leonard,cordwainer
"nuttell, e.",none
"parson, c.",pinner
"pede, h.",none
"quasshe, r.",grocer
"sellers, t.",ww
"stedde, w.",ww
"wynter, t (younger)",grocer
"aldrich, j (younger)",grocer
"aldrich, j. (younger)",grocer
"barker, j.",grocer
brady. edm.,grocer
"burr, j.",glasier
"carre, j.",dyer
clark. r.,woolen
"cowper, stephen",cooper
"croft, t.",fishmonger
"davy, t.",grocer
"francis, t.",grocer
"hall, edm.",fishmonger
"ives, r.",ww
"ives, w.",stainer
"knight, roger",none
"lounde, leonard",cordwainer
"lyng, j.",parchment
"miles, w.",cooper
"pyckryng, j.",ww
"rogers, w.",ww
"sotherton, nicholas (eld.)",none
sothertonric.,grocer
"swift, ric..",grocer
"toly, edm.",none
"toly, ric. (younger)",scrivener
"weld, roger.",grocer
"wheatley, ric.",ww
"word, t.",fishmonger
"wynter, t. (younger)",none
"bell, bartholomew",mason
"caly, j.",ww
"davy,t.",grocer
"flower, r.",ww
"frances, t.",grocer
"hemsted, w.",grocer
"hewke, w.",draper
"jackson, t.",haberdasher
"lyng, j.",none
"lynne, t.",none
"mayer, r.",cordwainer
"miles, w.",none
"ode, j.",none
"prycke, edm.",tailor
"pyckryng, j.",none
"pye, h.",ww
"ramsey, w.",fresh
"smyth, j.",ww
"sturmyn, ric.",smith
"wynter, t (younger)",none
"balls, j.",scrivener
"barker, t.",ww
"blome, w.",ww
"brown, t.",butcher
"cocke, j.",none
"cooke, ric.",cordwainer
"dawes, t.",cook
"goldman, r.",mercer
"green, j.",butcher
"hale, w.",tailor
"hall, t.",none
hemsted. w.,grocer
"jensen, w.",tailor
"levolde, t.",brewer
"mason, t.",joiner
"morley, leonard",baker
"moulton, h.",ww
"prycke, edm.",none
"ramsey, w.",none
"smith, j.",none
"steward, ric.",haberdasher
"sylver, j.",draper
"thornton, r.",tailor
"youngs, h,",carpenter
"baxter, pate",wheelwright
"blomefeld, w.",grocer
"cory, w.",none
"dannock, n.",grocer
"davy, h.",grocer
"ferrour, t. (junior)",draper
"ferrour, t. (younger)",draper
"gardener, andrew",tailor
"harman, matthew",ww
"hethe, raynolde",ww
"ives, r.",none
"king, j. (younger)",dornix
"mason, t.",none
"mayer, r.",none
"michells, r.",scrivener
"miller, j.",rope
"morant, james",grocer
"morley, leonard",none
"moulton, h.",none
"palling, edm.",keelman
"pede, h.",locksmith
"poding, w.",grocer
"powle, w.",ww
"pycking, j.",ww
"robynson, n.",cobbler
"skelton, t.",tailor
"stallor, j.",ww
"steward, ric.",none
"stoneham, r.",dornix
"tewsday, j. (elder)",butcher
"toly, ric.  (younger)",scrivener
"tungate, j.",ww
"tylney, walter",grocer
"youngs, h,",none
"aldrich, j.",grocer
"anguish, t.",grocer
"barr, j.",none
"blewett, ric.",blacksmith
"brett, j.",ww
"burton, hugh",mason
"cosen, j.",glover
"fletcher, joan",widow
"harman, edm.",ww
"hemlyng, andrew",dornix
"marshall, peter",no
"maynarde, h.",furbisher
"michells, r.",none
"morant, james",none
"newarke, r.",grocer
"poding, w.",none
"powle, w.",none
"pycking, j.",none
"skelton, t.",none
"style, antonhy",mercer
"taynton, walter",basket-maker
"whall, augustine",grocer
"allen, edm.",ww
"baker, t.",grocer
"bate, ellis (younger)",grocer
"blome, j.",ww
"blyth, t.",cooper
"boroughe, edm.",sherman
"brown, t.",grocer
"castelow, michael",cordwainer
"chamblyn,  simon",innholder
"clarke, t.",carpenter
"dewe, r.",dornix
"dey, t.",dornix
"elmeham, j.",barber
"forse, sylvester",ww
"glover, osmond",saddler
"hemlyng, andrew",coverlet
"ives, w.",ww
"marshall, peter",none
"mason, margaret",none
"maynarde, h.",none
"morley, f.",calendrerer
"newarke, r.",none
"pye, helen",widow
"tanner, christopher",goldsmith
"thurston, alexander",grocer
"tompson, j.",bricklayer
"woodhouse, jerome",ww
"crowe, j.",none
"lee, ric.",none
"reynbald, r.",none
"bernard, r.",none
"bungay, j.",none
"bacon, h.",none
"blome, j.",none
"humfrey, h.",none
"warden, e.",none
"mingay, w.",none
"sotherton, agnes",none
"cok, t.",none
"leche, r.",none
"sotherton, t.",none
"conye, t.",none
"head, w.",none
"puttock, f.",none
"sellers, edm.",none
"peck, t.",none
"rudd, ric.",none
"marsham, t.",none
"collard, r.",none
"attmere, h.",scrivener
"crowe, j. (elder)",none
"howse, j.",tailor
"porter, j.",surgeon
"moore, j.",none
"greenwood, h.",draper
"carter, h.",none
"styward, augustine (ald)",mercer
"styward, augustine",none
"catlyn, ric.",none
"styward, a.",none
"toly, ric.",none
"hinderson, r.",none
"sotherton, ric.",none
"stedde, w.",none
"lynne, james",ww
"porter, j.",none
"cock, ric.",cordwainer
"steward, w.",none
"howse, ric.",none
"moore, j.",ww
"greenwood, h.",none
"drury, g.",none
"aldrich, j.",none
"holden, h.",none
"ferrour, w. (ald)",draper
"styward, augustine (ald)",none
"allen, j.",tailor
stevenson r.,none
"baker, n.",none
"cosen, w.",tanner
"johnson, t.",joiner
"lynne, james",none
"cock, ric.",none
"suckling, j. (baker)",baker
"tesmond, t.",glover
"stedde, w.",innholder
"yongs, leonard",none
"rede, j.",ww
moore j.,none
"ferrour, w. (ald)",none
"norgate, n.",none
"johnson, t.",none
"sadler,j. (elder)",grocer
"crowe, j. (elder)",fishmonger
"howse, j.",none
"pynthyn, edm.",none
"allen, j.",none
"pettus, j.",none
"cosen, w.",none
"some, c.",none
"wolman, t.",none
"thurston, j.",none
not listed,none
"parker, t.",weaver
"cory, t.",baker
"suckling, r.",grocer
"lawrence, t.",none
"brooke, r.",none
"tesmond, t.",none
"peckover, edm.",none
"richman, james",none
"parker, r.",none
"peck, t.",grocer
"stingate, j.",keelman
"peckover, j. (elder)",none
"byrche, j. (elder)",carpenter
"sabern, t.",none
"pynchyn, edm.",none
"holl, t.",none
"bradley, t.",none
"grene, n,",none
"brown, r.",none
"gybbes, j.",none
no surety listed,none
"head, ric.",none
"wolsaye, edm.",none
codd. t.,beer
"hemond, r.",none
"wellys, t.",sherman
"suckling, r.",none
"wood, lawrence",none
"pynne, edm.",none
"cocke, peter",none
"blome, j.",draper
"petit,  simon",none
"whall, t.",none
"sotherton, n., senior",none
"sotherton, j. junior",none
"damme, edm.",none
"ferrour, t.",none
"tooke, r.",none
"codd, t. (execs.)",none
"fayerman, t.",none
"wellys, t.",none
"bengemyn, j. (elder)",draper
"gybbes, j.",mercer
"kyndersley, r.",none
"gilmyn, ralph",none
"thurston, edm.",none
"crampton, ric.",none
"damme, edm.",grocer
"bate, ellis",none
blank,none
"walden, g.",none
"spratt, ric.",none
"gooch, t.",none
"suckling, j.",none
"pynchyn, e.",none
"bale, bartholomew",none
"pynchyn, edm.",scrivener
"betts, j. (tailor)",none
"grundy, james",none
"cooke, j.",none
"cross, r.",none
"worsley, j.",none
"aldrich, j. (ald.)",none
"wells, t.",none
"stevenson, r.",cordwainer
"pype, j.",none
"toly, ric.",scrivener
"sadler,ric.",none
"peterson, p.",none
"toly, ric.",butcher
"collyson, g.",none
"plomb, matthew",none
"peck, j.",none
"gant, ric.",cordwainer
"brentingham, j.",none
"betts, t.",none
"mynne, h. (gent)",none
"sallet,  simon",glover
"johnson, t.",raffman
"gyrdler, r.",none
"style, edm.",none
"stingall, j.",none
"byrche, j.",none
"wells, t.",mercer
"skynner, ric.",none
"thurston, j. , sr.",ww
"cobbold, w.",none
"layer, c.",none
"cory, t. (elder)",none
not listed?,none
"swift, ric.",none
"overton, edm.",none
"betts, j.",none
"hobard, j.",none
"elwyn, j.",none
"sadler, j.",none
"crispe, r.",none
"wigg, w.",none
"shovell, j.",none
"james, ric.",none
"wright, j .",cordwainer
"stingate, j.",none
"balls,  simon",none
"thurston, j.",ww
"hewer, j.",bladesmith
"dingle, r.",none
"hyrne, clement",none
"wood, w.",none
"drury, g.",hatter
"cooke, edm.",none
"rugg, f.",mercer
"thurston, j. , sr.",none
"holl, t. (gent)",none
"tungate, j.",none
"sotherton, n. (younger)",none
"syer, w.",mercer
"snow, anthony",none
"pye, e.",none
"wright, j .",none
"marcon, j.",none
"syer, w.",none
"layer, t.",none
"dingle, r.",ww
"wood, w. (elder)",none
"andrews, j.",none
"pye, e.",ww
"elwyn, j,",none
"debney, j.",none
"quasshe, r.",none
"fisher, james",surgeon
"gleane, t.",none
fayerlyff j.,none
"fayerlyff, j.",none
"cully, t.",none
"steward, t.",none
"collyson, g.",cordwainer
"brerton, j.",none
"bate, ric.",none
"pede, w.",none
"drury, g. (younger)",none
"norgate, t.",none
"thirketill, edm.",none
"butfeld, w.",none
"beare, w.",reeder
"elwyn, j.",tanner
"fisher, james",none
"sparrow, t.",none
"spurling, ric.",none
"drury, g. (elder)",hatter
"brady, edm.",none
"ives, w.",painter
"beenye, walter",none
"stokes, t.",none
"toly, r.",none
"knight, t.",none
"davy, r.",none
"thirketill, edm..",none
"toly, ric. (elder)",scrivener
"toly, ric.  (elder)",scrivener
"cryckmay, j. (younger)",none
"sotherton, ric. (younger)",none
"elwyn, j,",tanner
"king, j.",none
"couley, r.",none
"gurney, j.",none
"peterson, peter",none
"morley, f.",none
"drury, g. (elder)",none
"tewsday, j.",none
"macon, j.",none
"thurston, ric.",none
"davy, stephen",tanner
"brady, t.",none
"butts, j.",none
"ives, w.",none
"jackson, ric.",none
"blyth, t.",none
"stevenson, ralph",none
"thyrketill, edm.",none
"elwyn, w.",tanner
"goodwyn, james",none
"palling, edm.",none
tooke. r.,none
"toly, ric. (elder)",none
"toly, ric.  (elder)",none
"cobb, j.",none
"barker, peter",scrivener
"style, anthony",none
"toly, ric. sr.",scrivener
"barrett, c.",none
"cory, t. (elder)",baker
"cory, t., (senior)",baker
"davy, stephen",coverlet
"roke, r.",glasier
"youngs, peter",pewterer
"thyrketill, j.",none
"morley, f.",calendrer
"elwyn, w.",none
"harryson, t.",ww
s,none
"surrey, n.",none
"flower, r.",none
"cocke, r.",none
"sylver, j.",none
"norgate, t. jr.",none
"barker, j.",none
"kemp, r.",none
"toly, ric. sr.",none
"davy,  r.",grocer
"davy, stephen",none
"ferrour, t. (senior)",draper
"ferrour, t. (elder)",draper
"pykerell, t.",none
"blome, w.",none
"howse, ric.",tanner
"roke, r.",none
"goslyng, r.",collar-maker
"glover, osmond",none
"king, j. (elder)",dornix
"rochester, w.",none
"day, j.",butcher
"brown, t.",none
"gybson, r.",none
"sellers, t.",none
"green, r.",mason
"norgate, t. (junior)",none
"rugge, f.",none
"springold, r.",none
"bennett, r.",glover
"cooke, ric.",none
"dannock, n.",none
"mayor, r.",none
"brerton, cuthbert",mercer
"davy,  r.",none
"ferrour, t. (senior)",none
"ferrour, t. (elder)",none
"king, j. (elder)",none
"brown, w.",none
"tewsday, j. (eld.)",none
stedde. w.,none
"sotherton, j. jr.",none
"golding, r.",none
"sotherton, n. (junior)",none
"wylkynson/wilkynson, j.",none
"sheparde, n.",none
"green, r.",none
"hast, roger",none
"bennett, r.",none
"green, j.",none
"brewster, edm.",smith
"narford, t.",none
"mayor, r.",cordwainer
"denny, e.",mercer
"sayve, t.",none
"tronyn als cryckmay, j.",none
"plumber, matthew",none
"brende, w.",bladesmith
"bulward, j.",grocer
"baker, r.",ww
"secker, t.",none
"stephanson, r.",none
"blackborne, r.",grocer
"collerd, r.",none
"wilkinson, e.",none
"bengemyn, j.",none
"wharlowe, t.",none
"bush, w.",none
"hayles, w.",none
"swanton, t.",none
___ grace?,none
"hinderson, r.",tailor
"rasshe, w.",none
"sotherton, leonard",none
"brygges, t.",none
"fletcher, e.",none
"webster, p.",none
"sandringham, w.",none
"esod, r.",none
"brerton, w.",cordwainer
"foxe, j.",cordwainer
"sotherton, j. (of st. andrewâ€™s)",none
"grey, t.",none
"bates, e.",none
"borne, allen",fletcher
"berne als. derne, j.",none
"baker, j.",none
"petyt,  simon",none
"esod, r.",tanner
"brerton, w.",none
"sewall, j.",none
"pettus, t.",hardwareman
"spurling, ric.",carpenter
"mapes, j.",draper
"seyve, t.",coverlet/dornix
"borne, allen",none
"walden, g.",apothecary
"leek, roger",none
"some, c.",dornix
"peckover, j.",none
"lawrence, t.",bellfounder
"carter, h.",carter
"richman, j.",none
"davy, n.",none
"seyve, t.",none
"layer, t.",grocer
"cock, j.",none
"booker, j.",none
"bryell als. tebbold, j.",none
"walworth, j.",none
"quasshe, jerome",fishmonger
"basingham, j.",none
"stowe, t.",calendrer
"davy, n.",keelman
"ward, jeffrey",none
"thetford, t.",tailor
"lloyd, r.",mercer
"mychells, edm.",none
"cooke, g.",none
"thurston, j.",cordwainer
"quasshe, jerome",none
"toly,, edm.",none
"narforde, t.",none
"cook, j.",none
"smyth, _____",none
"cully, t.",grocer
stevenson r.,grocer
"manne, n.",none
"holl, edm.",none
"coke, j.",none
"sotherton, j. senior",none
"revell, j.",none
"watson, ric.",tailor
"saborne, r.",none
bate. ellis,none
"green, n.",none
"bengemyn, j. (elder)",none
"michells, edm.",none
"byrche, j. (junior)",none
"toly, r.",butcher
"hast, t.",none
"watson, ric.",none
"elsey, t.",none
"wood, w.",hatter
?,none
"seyve, j.",none
"sotherton, j., jr.",none
"dethyck, t.",none
"lawremce, r.",none
"aldrich, w.",none
"holl, h.",none
"fryer, ric.",none
"waller, j.",none
"thetford, t.",none
"booth, james",none
"weg, w.",none
"smith, ric.",haberdasher
"howse, ric.",turner
"hilde, j.",none
"cooke, edm.",turner
"sotherton,j. (elder)",none
"cryckemay, j.",none
"fellow, j.",none
"balls, j.",tailor
"stamage, r.",none
"howson, j.",none
"fellow, j., gent.",none
"toly, r.",scrivener
"deynes, w.",none
"smyth, ric.",tailor
"andrews, r.",none
"cooke,, j.",none
"clyfford, j.",none
"berforth, r.",ye
"sotherton, n., jr.",grocer
"quasshe, andrew",none
"gant, ric.",none
"cryckmay, j.",none
"hook, r.",none
"francis, t.",none
"stedde, w.",mercer
"bowde,  simon",none
"cook, edm.",tanner
"barforth, r.",none
"lawes, ric.",none
"sotherton, n., jr.",none
"cryckmayer, j. (younger)",none
"pyckeryng, w.",none
"tesmond, vicent",none
"tuesday, j.",none
"cook, edm.",none
"wallworth, j.",none
"busshell, e.",none
"weld, j.",none
"norrys, titus",none
"blewett, w.",glover
"ward, t.",none
"barker, edm.",none
"austen, c.",none
"page, osbert",sherman
"cory, t.",none
"hemlyng, raynold",none
"calye, j.",none
howse. ric.,none
"smyth, randoll.",none
"ives, r..",none
"larwood, t.",none
"blewett, w.",none
"swift, ric..",none
"baker, edm.",none
"tebold, w.",none
"pede, h,",none
"stedd, w.",none
"johnson, j.",hatter
"pye, j.",none
"goodman, r.",none
"cottwyn, j.",none
"gyggs, j.",none
"lyn, t.",grocer
"smith, g.",none
"ramsey, w..",none
"stanforth, r.",none
"snowe, anthony",none
"tuttoff, charles",none
none,none
"green, r.",cordwainer
"calverley, ric.",none
"brantingham, j.",none
"bulwer, j.",none
"johnson, j.",none
"hall, r.",none
"tompson, r.",none
"castleton, w.",none
"gurnell, j.",none
"hewke, w.",none
"hoke, t.",none
"tuttoff, charles",gent
"wynter, t. (younger)",grocer
"wynter, t. (junior)",grocer
"rochester, t.",none
"narborough, r.",none
"barker, humfrey",glover
"hall, edm.",none
"castelow, michel",none
"tuttoff, charles, gent.",none
"morley, w.",none
"capon, j.",none
"surry, n.",none
"harman, matthew",none
"johnson, r.",hatter
"michell, r.",none
"gigg/gygges, j.",none
"blackborne, r.",none
"barker, humfrey",none
"cotwyn, j.",none
"butler, j.",none
"austen, t.",none
"drury, g. (senior)",hatter
"colwey, r.",none
"whall, augustine",none
"brewster, edm.",none
"bradforth, n.",none
"king, j. (younger)",none
"smyth, randolph",none
"macon, walter",none
"rede, bartholomew",none
"blewet, oswald",none
"padfeld, w.",none
"matthew, w.",none
"norgate, t. (younger)",none
"blythe, t.",none
"wysse, j.",none
"smyth/smith, ric.",none
"dix, r.",none
"anguish, t.",none
"elmeham, ralph",none
"baker, ?",none
"springolde, r.",none
"aldrich, j. (younger)",none
"borrow, edm./boroughe?",none
"lynne, j.",none
"paman, j.",miller
"lambe, lawrence",none
"taylor, n.",none
"elmeham, j.",none
"wylkynson, j.",none
"cocke, ?",none
"skynner, edm.",none
"watts, j.",none
"hethe, r.",none
"newham, w.",none
"thyrketill, j.(jun.)",none
"castlelow, w.",none
"gallyard, h.",none
"hempsted, w.",none
"dix, r.",draper
